KEY,en_US,fr,es,de,it,pt,ru,el,tr,da,no,sv,nl,pl,fi,ja,zh_cn,zh_tw,ko,cs_CZ,hu_HU,ro_RO,th_TH,bg_BG,he_IL,ar,bs_BA
LANGUAGE_EN,English,French,Spanish,German,Italian,Portuguese,Russian,Greek,Turkish,Danish,Norwegian,Swedish,Dutch,Polish,Finnish,Japanese,Simplified Chinese,Traditional Chinese,Korean,Czech,Hungarian,Romanian,Thai,Bulgarian,Hebrew,Arabic,Bosnian
LANGUAGE_DIRECTION,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,ltr,rtl,rtl,ltr
MENU_PLAY,PLAY,JOUER,JUGAR,SPIELEN,GIOCA,JOGAR,ИГРАТЬ,ΠΑΙΞΕ,OYNA,SPIEL,SPILL,SPEL,SPELEN,GRAJ,PELAA,プレイ,播放,播放,재생,HRÁT,JÁTÉK,JOACĂ,เล่น,ИГРАЙ,נגן,تشغيل,IGRAJ
MENU_OPTIONS,OPTIONS,OPTIONS,OPCIONES,OPTIONEN,OPZIONI,OPÇÕES,НАСТРОЙКИ,ΕΠΙΛΟΓΕΣ,SEÇENEKLER,OPTIONER,VALG,ALTERNATIV,OPTIES,OPCJE,ASETUKSET,オプション,选项,選項,옵션,MOŽNOSTI,BEÁLLÍTÁSOK,OPȚIUNI,ตัวเลือก,ОПЦИИ,אפשרויות,خيارات,OPCIJE
MENU_TITLES,TITLES,TITRES,TÍTULOS,TITEL,TITOLI,TÍTULOS,НАЗВАНИЯ,ΤΙΤΛΟΙ,BAŞLIKLAR,TITLER,TITLER,TITLAR,TITELS,TYTUŁY,OTSIKOT,タイトル,标题,標題,제목,TITULKY,CÍMEK,TITLURI,ชื่อเรื่อง,ЗАГЛАВИЯ,כותרות,عناوين,NASLOVI
MENU_QUIT,QUIT,QUITTER,SALIR,BEENDEN,ESCI,SAIR,ВЫЙТИ,ΕΞΟΔΟΣ,ÇIKIŞ,AFSLUT,AVSLUTT,AVSLUTA,STOPPEN,WYJDŹ,LOPETA,終了,退出,退出,종료,KONEC,KILÉPÉS,IEȘIRE,ออก,ИЗХОД,יציאה,خروج,IZLAZ
MENU_BACK,BACK,RETOUR,ATRÁS,ZURÜCK,INDIETRO,VOLTAR,НАЗАД,ΠΙΣΩ,GERİ,TILBAGE,TILBAKE,TILLBAKA,TERUG,WRÓĆ,TAKAISIN,戻る,返回,返回,뒤로,ZPĚT,VISSZA,ÎNAPOI,กลับ,НАЗАД,חזור,عودة,NAZAD
MENU_SAVE_DELETE,DELETE,SUPPRIMER,ELIMINAR,LÖSCHEN,ELIMINA,ELIMINAR,УДАЛИТЬ,ΔΙΑΓΡΑΦΗ,SİL,SLET,SLETT,RADERA,VERWIJDEREN,USUŃ,POISTA,削除,删除,刪除,삭제,SMAZAT,TÖRLÉS,ȘTERGE,ลบ,ИЗТРИЙ,מחק,حذف,OBRIŠI
MENU_SAVE_NEW_GAME,NEW GAME,NOUVEAU JEU,NUEVO JUEGO,NEUES SPIEL,NUOVA PARTITA,NOVO JOGO,НОВАЯ ИГРА,ΝΕΟ ΠΑΙΧΝΙΔΙ,YENİ OYUN,NYT SPIL,NYTT SPILL,NYTT SPEL,NIEUW SPEL,NOWA GRA,UUSI PELI,新しいゲーム,新游戏,新遊戲,새 게임,NOVÁ HRA,ÚJ JÁTÉK,JOC NOU,เกมใหม่,НОВА ИГРА,משחק חדש,لعبة جديدة,NOVA IGRA
MENU_SAVE_HOURS_H,H,H,H,S,O,H,Ч,Ω,S,T,T,T,U,G,T,時,小,小,시,H,Ó,O,ชั่,Ч,ש,سا,S
MENU_SAVE_MINUTES_M,M,M,M,M,M,M,М,Λ,D,M,M,M,M,M,M,分,分,分,분,M,P,M,น,М,ד,دق,M
MENU_OPTION_VOLUME,VOLUME,VOLUME,VOLUMEN,LAUTSTÄRKE,VOLUME,VOLUME,ГРОМКОСТЬ,ΕΝΤΑΣΗ,SES,LYDSTYRKE,VOLYM,VOLYM,VOLUME,GŁOŚNOŚĆ,VOLUME,音量,音量,音量,볼륨,HLAZ,HANGERŐ,VOLUM,ระดับเสียง,ГЛАСНОСТ,עוצמה,مستوى الصوت,ZVUČNOST
MENU_OPTION_MAIN_VOLUME,MAIN VOLUME,VOLUME PRINCIPAL,VOLUMEN PRINCIPAL,HAUPTLAUTSTÄRKE,VOLUME PRINCIPALE,VOLUME PRINCIPAL,ОБЩАЯ ГРОМКОСТЬ,ΚΥΡΙΑ ΕΝΤΑΣΗ,ANA SES,HOVEDLYDSTYRKE,HOVEDVOLYM,HUVUDVOLYM,HOOFDVOLUME,GŁÓWNA GŁOŚNOŚĆ,PÄÄVOLUME,メイン音量,主音量,主音量,메인 볼륨,HLAVNÍ HLASITOST,FŐ HANGERŐ,VOLUM PRINCIPAL,ระดับเสียงหลัก,ГЛАВНА ГЛАСНОСТ,עוצמה ראשית,المستوى الرئيسي,GLAVNA ZVUČNOST
MENU_OPTION_MUSIC_VOLUME,MUSIC,MUSIQUE,MÚSICA,MUSIK,MUSICA,MÚSICA,МУЗЫКА,ΜΟΥΣΙΚΗ,MÜZİK,MUSIK,MUSIKK,MUSIK,MUZIEK,MUZYKA,MUSIIKKI,音楽,音乐,音樂,음악,HUDBA,ZENE,MUZICĂ,ดนตรี,МУЗИКА,מוזיקה,موسيقى,MUZIKA
MENU_OPTION_SFX_VOLUME,SOUND EFFECTS,EFFETS SONORES,EFECTOS DE SONIDO,SOUNDEFFEKTE,EFFETTI SONORI,EFEITOS SONOROS,ЗВУКОВЫЕ ЭФФЕКТЫ,ΗΧΗΤΙΚΑ ΕΦΕ,SES EFEKTLERİ,LYDEFFEKTER,LYDEFFEKTER,LJUD EFFEKTER,GELUIDSEFFECTEN,EFEKTY DŹWIĘKOWE,ÄÄNIEFTEKTIT,効果音,音效,音效,사운드 효과,ZVUKOVÉ EFEKTY,HANGHATÁSOK,EFECTE SONORE,เอฟเฟกต์เสียง,ЗВУКОВИ ЕФЕКТИ,אפקטים קוליים,تأثيرات صوتية,ZVUČNI EFEKTI
MENU_OPTION_INTERFACE,INTERFACE,INTERFACE,INTERFAZ,OBERFLÄCHE,INTERFACCIA,INTERFACE,ИНТЕРФЕЙС,ΔΙΕΠΑΦΗ,ARAYÜZ,BRUGERFLADE,GRUNNELSE,GRÄNSSNITT,INTERFACE,INTERFEJS,KÄYTTÖLIITTYMÄ,インターフェース,界面,介面,인터페이스,ROZHRANÍ,FELÜLET,INTERFAȚĂ,อินเทอร์เฟซ,ИНТЕРФЕЙС,ממשק,واجهة,SUČELJE
MENU_OPTION_WINDOW_MODE,WINDOW MODE,MODE FENÊTRE,MODO DE VENTANA,FENSTERMODUS,MODALITÀ FINESTRA,MODO JANELA,РЕЖИМ ОКНА,ΛΕΙΤΟΥΡΓΙΑ ΠΑΡΑΘΥΡΟΥ,PENCERE MODU,VINDUE TILSTAND,VINDUSMODUS,FÖNSTERLÄGE,VENSTERMODUS,TRYB OKIENIA,IKKUNATILA,ウィンドウモード,窗口模式,視窗模式,창 모드,REŽIM OKNA,ABLAKMÓD,MOD FEREASTRĂ,โหมดหน้าต่าง,РЕЖИМ НА ПРОЗОРЕЦ,מצב חלון,وضع النافذة,REŽIM PROZORA
MENU_OPTION_FULLSCREEN,FULLSCREEN,PLEIN ÉCRAN,PANTALLA COMPLETA,VOLLbild,SCHERMO INTERO,ECRÃ INTEIRO,ПОЛНОЭКРАННЫЙ,ΠΛΗΡΗΣ ΟΘΟΝΗ,TAM EKRAN,FULD SKÆRM,FULLSKJERM,HEL SKÄRM,VOLLEDIG SCHERM,PEŁNY EKRAN,KOKORUUTU,フルスクリーン,全屏,全螢幕,전체 화면,CELOOBRAZOVÝ,TELJES KÉPERNYŐ,ECRAN COMPLET,เต็มจอ,ПЪЛЕН ЕКРАН,מסך מלא,شاشة كاملة,PUNI EKRAN
MENU_OPTION_WINDOWED,WINDOWED,FENÊTRE,EN VENTANA,IM FENSTER,IN FINESTRA,EM JANELA,В ОКНЕ,ΣΕ ΠΑΡΑΘΥΡΟ,PENCERELİ,I VINDUE,VINDUS,I FÖNSTER,IN VENSTER,W OKNIE,IKKUNASSA,ウィンドウ表示,窗口化,視窗化,창 모드,V OKNĚ,ABLAKOS,ÎN FEREASTRĂ,แบบหน้าต่าง,В ПРОЗОРЕЦ,בחלון,في نافذة,U PROZORU
MENU_OPTION_RESOLUTION,RESOLUTION,RÉSOLUTION,RESOLUCIÓN,AUFLÖSUNG,RISOLUZIONE,RESOLUÇÃO,РАЗРЕШЕНИЕ,ΑΝΑΛΥΣΗ,ÇÖZÜNÜRLÜK,OPLØSNING,OPPLØSNING,UPPLÖSNING,RESOLUTIE,ROZDZIELCZOŚĆ,RESOLUUTIO,解像度,分辨率,解析度,해상도,ROZLIŠENÍ,FELBONTÁS,REZOLUȚIE,ความละเอียด,РЕЗОЛЮЦИЯ,רזולוציה,الدقة,REZOLUCIJA
MENU_OPTION_RESOLUTION_ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,УЛЬТРА,ΥΠΕΡ,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,ULTRA,ウルトラ,超高,超高,울트라,ULTRA,ULTRA,ULTRA,อัลตร้า,УЛТРА,אולטרא,فائق,ULTRA
MENU_OPTION_RESOLUTION_HIGH,HIGH,ÉLEVÉ,ALTO,HOCH,ALTO,ALTO,ВЫСОКИЙ,ΥΨΗΛΗ,YÜKSEK,HØJ,HØY,HÖG,HOOG,WYSOKI,KORKEA,高,高,高,높음,VYSOKÝ,MAGAS,ÎNALT,สูง,ВИСОКО,גבוה,عالٍ,VISOKO
MENU_OPTION_RESOLUTION_MEDIUM,MEDIUM,MOYEN,MEDIO,MITTEL,MEDIO,MÉDIO,СРЕДНИЙ,ΜΕΣΑΙΑ,ORTA,MIDDEL,MIDDELS,MEDIUM,MIDDEL,ŚREDNI,KESKIVAIHE,中,中,中,중간,STŘEDNÍ,KÖZEPES,MEDIU,กลาง,СРЕДНО,בינוני,متوسط,SREDNJE
MENU_OPTION_RESOLUTION_LOW,LOW,FAIBLE,BAJO,NIEDRIG,BASSO,BAIXO,НИЗКИЙ,ΧΑΜΗΛΗ,DÜŞÜK,LAV,LAV,LÅG,LAAG,NISKI,MATALA,低,低,低,낮음,NÍZKÝ,ALACSONY,SCĂZUT,ต่ำ,НИСКО,נמוך,منخفض,NISKO
MENU_OPTION_VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,垂直同步,垂直同步,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,VSYNC,مزامنة عمودية,VSYNC
MENU_OPTION_RESET,RESET,RÉINITIALISER,REINICIAR,ZURÜCKSETZEN,REIMPOSTA,REDEFINIR,СБРОС,ΕΠΑΝΑΦΟΡΑ,SIFIRLA,NULSTIL,TILBAKESTILL,ÅTERSTÄLL,RESETTEN,RESET,NOLLAA,リセット,重置,重設,리셋,RESET,ALAPHELYZET,RESETARE,รีเซ็ต,НУЛИРАНЕ,איפוס,إعادة ضبط,PONIŠTI
MENU_OPTION_LANGUAGE,LANGUAGE,LANGUE,IDIOMA,SPRACHE,LINGUA,IDIOMA,ЯЗЫК,ΓΛΩΣΣΑ,DİL,SPROG,SPRÅK,SPRÅK,TAAL,JĘZYK,KIELI,言語,语言,語言,언어,JAZYK,NYELV,LIMBĂ,ภาษา,ЕЗИК,שפה,لغة,JEZIK
TITLES_GARDEN_TITLE_01,NOOBY\nGARDEN,JARDIN\nDE GIGA NOOB,JARDÍN\nNOOBY,NOOBY\nGARTEN,GIARDINO\nNOOBY,JARDIM\nNOOBY,NOOBY\nСАД,ΚΗΠΟΣ\nNOOBY,NOOBY\nBAHÇESİ,NOOBY\nHAVE,NOOBY\nHAGE,NOOBY\nTRÄDGÅRD,NOOBY\nTUIN,NOOBY\nOGRÓD,NOOBY\nPUUTARHA,NOOBY\nガーデン,NOOBY\n花园,NOOBY\n花園,NOOBY\n가든,NOOBY\nZAHRADA,NOOBY\nKERT,NOOBY\nGRĂDINĂ,NOOBY\nสวน,NOOBY\nГРАДИНА,NOOBY\nגן,NOOBY\nحديقة,NOOBY\nBAŠTA
TITLES_GARDEN_TITLE_02,ROYAL\nGARDEN,JARDIN\nROYAL,JARDÍN\nREAL,KÖNIGLICHER\nGARTEN,GIARDINO\nREALE,JARDIM\nREAL,КОРОЛЕВСКИЙ\nСАД,ΒΑΣΙΛΙΚΟΣ\nΚΗΠΟΣ,KRALİYET\nBAHÇESİ,KONGELIG\nHAVE,KONGELIG\nHAGE,ROYAL\nTRÄDGÅRD,ROYAL\nTUIN,ROYAL\nOGRÓD,ROYAL\nPUUTARHA,ROYAL\nガーデン,ROYAL\n花园,ROYAL\n花園,ROYAL\n가든,KRÁLOVSKÁ\nZAHRADA,KIRÁLYI\nKERT,ROYAL\nGRĂDINĂ,ROYAL\nสวน,РОЯЛ\nГРАДИНА,ROYAL\nגן,ROYAL\nحديقة,ROYAL\nBAŠTA